epoch,train_loss,val_loss,train_acc,val_acc,val_auc,lr
1,0.35747622298458703,,0.9043694902261403,0.893455098934551,0.0,1.6666666666666667e-05
2,0.3088037157399118,0.45348794014395827,0.9457646607895746,0.89117199391172,0.8559251792114696,3.3333333333333335e-05
3,0.2943104909680821,0.4938003898483433,0.9532387888079724,0.8866057838660578,0.7966019825268816,5e-05
4,0.263701712841867,0.4980154151332251,0.9683786891529321,0.8881278538812786,0.8184265793010752,4.995066821070679e-05
5,0.25591752868632606,0.4982236510814597,0.971828286699885,0.880517503805175,0.7884352598566308,4.980286753286195e-05
6,0.24031862932381934,0.4771258759126634,0.9796857033346109,0.898021308980213,0.8841159834229391,4.955718126821722e-05
7,0.24308337776676453,0.4662780007815252,0.9796857033346109,0.8949771689497716,0.817309307795699,4.9214579028215776e-05
8,0.223078574158534,0.45620973895855327,0.9888846301264852,0.9033485540334856,0.8834817428315412,4.877641290737884e-05
9,0.23106184409879185,0.5300578367038767,0.9854350325795324,0.8729071537290716,0.8221746191756273,4.8244412147206284e-05
10,0.22403655692666552,0.4649855444375057,0.9888846301264852,0.8987823439878234,0.9126442092293907,4.762067631165049e-05
11,0.22300758451257643,0.45816208816826615,0.988118052893829,0.8995433789954338,0.8517179099462366,4.6907667001096584e-05
12,0.22280859167592285,0.48338039514227366,0.9886929858183212,0.8888888888888888,0.856688228046595,4.610819813755037e-05
13,0.21772107991417416,0.476268110232629,0.99195093905711,0.8987823439878234,0.8306801635304659,4.5225424859373677e-05
14,0.21287858694643297,0.4633946032511408,0.9936757378305864,0.898021308980213,0.8004690300179211,4.426283106939472e-05
15,0.21372133693895198,0.46776116125659856,0.9936757378305864,0.8972602739726028,0.7927041330645161,4.322421568553528e-05
16,0.2182550678517271,0.46628115016575816,0.9913760061326179,0.895738203957382,0.854350078405018,4.211367764821721e-05
17,0.21045412895390703,0.48581773772994497,0.9946339593714066,0.8888888888888888,0.8566224238351254,4.0935599743717234e-05
18,0.2164499059165287,0.4575451426491527,0.9925258719816021,0.9010654490106544,0.8535254256272401,3.969463130731183e-05
19,0.20664198194006111,0.45796048380377813,0.9967420467612111,0.9018264840182648,0.870682123655914,3.839566987447491e-05
20,0.20904514720701267,0.4472957703666237,0.995975469528555,0.9048706240487062,0.8674535170250895,3.7043841852542874e-05
21,0.2124372004046208,0.4911043167431786,0.9940590264469146,0.89117199391172,0.8390610999103942,3.564448228912681e-05
22,0.21282717701506002,0.4557523705643606,0.9940590264469146,0.9018264840182648,0.8596130152329748,3.420311381711694e-05
23,0.20765953158317924,0.45383282817752757,0.995975469528555,0.9048706240487062,0.9232246863799283,3.272542485937368e-05
24,0.21104340845252784,0.4564398061966061,0.9948256036795707,0.9003044140030442,0.9304659498207886,3.121724717912136e-05
25,0.20538661010697593,0.456718447024238,0.9969336910693752,0.9056316590563166,0.8747745855734768,2.9684532864643112e-05
26,0.20655085146427155,0.48295542311995,0.9967420467612111,0.8926940639269406,0.8473160282258064,2.8133330839107605e-05
27,0.2017359475252865,0.45496848617968133,0.9988501341510158,0.9025875190258752,0.8512880824372759,2.6569762988232828e-05
28,0.20177785185800745,0.4723192436600748,0.9988501341510158,0.8949771689497716,0.9004270273297491,2.499999999999999e-05
29,0.20733192579048992,0.46584134121373,0.9963587581448831,0.898021308980213,0.8428413418458781,2.3430237011767157e-05
30,0.20140900677330606,0.47721554670068955,0.9988501341510158,0.8926940639269406,0.8418276769713261,2.1866669160892387e-05
31,0.20477392994818353,0.455729688003183,0.9975086239938674,0.9010654490106544,0.8733450940860216,2.0315467135356877e-05
32,0.2033667217992923,0.4664529056899261,0.9980835569183595,0.8995433789954338,0.8651993727598566,1.878275282087862e-05
33,0.19900729332152067,0.46319199862636207,1.0,0.9003044140030442,0.8709285394265233,1.7274575140626315e-05
34,0.20128181137518666,0.4569042255617168,0.9990417784591797,0.9033485540334856,0.8845766129032258,1.5796886182883053e-05
35,0.2006342458960287,0.45171936146654135,0.9992334227673438,0.9041095890410958,0.881497815860215,1.4355517710873178e-05
36,0.20325740186612512,0.44492302823647334,0.9982752012265236,0.9033485540334856,0.8380474350358423,1.295615814745711e-05
37,0.20039900912892183,0.45105495257373995,0.9994250670755078,0.9033485540334856,0.9062429995519714,1.1604330125525074e-05
38,0.19895903961486677,0.47139573251457156,1.0,0.8972602739726028,0.8537886424731183,1.030536869268817e-05
39,0.19936939024203304,0.46118682062698463,0.9998083556918359,0.9003044140030442,0.8678273409498208,9.064400256282752e-06
