epoch,train_loss,val_loss,train_acc,val_acc,val_auc,lr
1,0.35637223693508735,0.4738800988247934,0.8459357277882797,0.8316981132075472,0.8605587032381524,9.972609476841367e-05
2,0.13712260065378448,0.5439245552386878,0.9480151228733459,0.8301886792452831,0.8842766553921857,9.890738003669029e-05
3,0.10048127440429365,0.4623513393624211,0.9589792060491493,0.8679245283018868,0.9136188939573429,9.755282581475769e-05
4,0.07234294387478458,0.5394017314939004,0.9729678638941399,0.8618867924528302,0.9236118183718648,9.567727288213003e-05
5,0.05441775628425435,0.5310090601219322,0.9807183364839319,0.8754716981132076,0.9292642463161392,9.330127018922194e-05
6,0.044972577392491594,0.5295954178906275,0.9841209829867675,0.8709433962264151,0.9267931516909041,9.045084971874738e-05
7,0.030350779878972046,0.6204874015304278,0.9896030245746692,0.8588679245283019,0.911360870940249,8.715724127386972e-05
8,0.03605343754648008,0.68551151230861,0.9882797731568999,0.8603773584905661,0.9086030006914776,8.345653031794292e-05
9,0.031185482263508726,0.716502364807112,0.9901701323251417,0.859622641509434,0.9188357981742845,7.938926261462366e-05
10,0.0177435364524899,0.6805923334832461,0.9941398865784499,0.8679245283018868,0.9199520789892635,7.500000000000001e-05
11,0.022650459515448442,0.8279303220308052,0.9924385633270322,0.8641509433962264,0.9211152623594934,7.033683215379003e-05
12,0.018630458800463684,0.9153222802450072,0.9930056710775047,0.8520754716981133,0.9163003800447047,6.545084971874738e-05
