epoch,train_loss,val_loss,train_acc,val_acc,val_auc,lr
1,0.4402764799126154,0.43668088564332924,0.8436672967863894,0.8422641509433962,0.9196689655172414,9.972609476841367e-05
2,0.3093569776060901,0.45470954706084055,0.9062381852551985,0.820377358490566,0.9056229885057472,9.890738003669029e-05
3,0.2316887201033603,0.3949503821247029,0.9293005671077504,0.8573584905660377,0.926209195402299,9.755282581475769e-05
4,0.18892360026816113,0.36835275659021344,0.9429111531190927,0.88,0.9289218390804598,9.567727288213003e-05
5,0.1562925304266816,0.2615351271966718,0.9525519848771267,0.9086792452830189,0.9698229885057472,9.330127018922194e-05
6,0.1303580489749043,0.3438130780211035,0.9629489603024575,0.8928301886792452,0.9509344827586207,9.045084971874738e-05
7,0.11400406142038298,0.3394171567907873,0.9671077504725898,0.8973584905660378,0.9536183908045976,8.715724127386972e-05
8,0.08888841080276863,0.4044504929629137,0.9742911153119093,0.879245283018868,0.9342977011494255,8.345653031794292e-05
9,0.07705452036190011,0.3873057556096113,0.9780718336483932,0.8943396226415095,0.9521011494252873,7.938926261462366e-05
10,0.07542272427159807,0.28672602102160455,0.9793950850661626,0.9215094339622641,0.9703597701149425,7.500000000000001e-05
11,0.07042340800405562,0.41419170677099587,0.9805293005671077,0.889811320754717,0.9459459770114943,7.033683215379003e-05
12,0.057978806768619724,0.4298203602503493,0.9837429111531191,0.8981132075471698,0.9521310344827586,6.545084971874738e-05
13,0.05343863083391199,0.5841920378129437,0.9858223062381852,0.8664150943396226,0.9507379310344828,6.039558454088797e-05
14,0.06862289729600311,0.43689337923982235,0.9833648393194707,0.8973584905660378,0.9365551724137932,5.522642316338269e-05
15,0.03847265316557231,0.5741314443228942,0.9901701323251417,0.8762264150943396,0.9297022988505748,5.000000000000002e-05
16,0.04035005132273361,0.48985260945446085,0.989413988657845,0.8958490566037736,0.9475126436781609,4.4773576836617344e-05
17,0.04022146903915024,0.4309874815774976,0.9888468809073724,0.9018867924528302,0.9628609195402299,3.9604415459112035e-05
