Model,Paradigm,Fold,Best_Epoch,Convergence_Ep,Val_AUC,Test_Acc,Test_BalAcc,Test_Sensitivity,Test_Specificity,Test_F1,Test_AUC,Test_MCC,Test_FNR,Test_PPV,Test_NPV,Inference_ms,GPU_Mem_GB,Fold_Time_s,Backbone_Params,Attention_Params,Head_Params
CNN+ViT-Hybrid,transformer,1,8,8,0.9885,0.8578,0.8437,0.9138,0.7737,0.8491,0.8947,0.7011,0.0862,0.8585,0.8585,10.78,6.03,413.3,10696232,1592576,394498
CNN+ViT-Hybrid,transformer,2,7,7,0.9978,0.8006,0.8065,0.7773,0.8356,0.797,0.8646,0.6017,0.2227,0.8766,0.8766,13.4,6.03,419.4,10696232,1592576,394498
CNN+ViT-Hybrid,transformer,3,14,14,0.9436,0.8725,0.8569,0.9344,0.7795,0.864,0.9158,0.7327,0.0656,0.8643,0.8643,11.4,6.03,609.1,10696232,1592576,394498
CNN+ViT-Hybrid,transformer,4,17,17,0.9811,0.8825,0.8682,0.9395,0.7969,0.875,0.8955,0.7539,0.0605,0.8743,0.8743,15.39,6.03,728.6,10696232,1592576,394498
CNN+ViT-Hybrid,transformer,5,9,9,0.9109,0.8462,0.8338,0.8958,0.7718,0.8377,0.8969,0.6768,0.1042,0.855,0.855,16.08,6.03,508.4,10696232,1592576,394498
