epoch,train_loss,val_loss,train_acc,val_acc,val_auc,lr
1,0.4437326048361427,,0.799849369233666,0.8565950920245399,0.0,2e-05
2,0.2828452330685183,0.2710779174888061,0.8853323291282245,0.8957055214723927,0.9582669085007874,4e-05
3,0.2203628018840718,0.1914142267835652,0.9131990209000188,0.924079754601227,0.9805546274640828,6e-05
4,0.15615710475825922,0.23840361458757903,0.9405008472980606,0.9279141104294478,0.9761574626509474,8e-05
5,0.12566063402077166,0.2827360321041997,0.9548107700997929,0.9233128834355828,0.9766132881485371,0.0001
6,0.09164855976606033,0.4598745135076207,0.9698738467331952,0.8987730061349694,0.9775237458832513,9.972609476841367e-05
7,0.08326959805403517,0.28652892595419854,0.9742044812652985,0.9279141104294478,0.9854243234213165,9.890738003669029e-05
8,0.06885465678803285,0.2605799227221612,0.9789116927132366,0.941717791411043,0.9884683308672617,9.755282581475769e-05
9,0.06868834465005084,0.37326014599551455,0.9768405196761438,0.9233128834355828,0.9743484797861678,9.567727288213003e-05
10,0.05415645856750458,0.588564951544159,0.98399548107701,0.8773006134969326,0.9666543363085294,9.330127018922194e-05
11,0.04613520573399447,0.30892652446872615,0.9858783656561853,0.9378834355828221,0.9840699727936614,9.045084971874738e-05
12,0.040688876088584486,0.47646042850851283,0.9890792694407833,0.9133435582822086,0.9765810701159849,8.715724127386972e-05
13,0.04285208096139098,0.33404498369050173,0.9866315194878554,0.9309815950920245,0.9784174979714572,8.345653031794292e-05
14,0.035813175541626,0.5250589793627979,0.9905855771041235,0.9102760736196319,0.9758830127440219,7.938926261462366e-05
15,0.034801360578410365,0.46670283459446915,0.990020711730371,0.9102760736196319,0.9798816285618825,7.500000000000001e-05
