epoch,train_loss,val_loss,train_acc,val_acc,val_auc,lr
1,0.42277848996602296,0.5806141569479456,0.8107750472589792,0.7637735849056604,0.8268471264367816,2e-05
2,0.26984439377297975,0.5193361383170452,0.8897920604914934,0.8241509433962264,0.8926218390804598,4e-05
3,0.21067580084381574,0.45987983361730034,0.9187145557655955,0.8513207547169811,0.9476551724137932,6e-05
4,0.1533948697537071,0.5900639892636605,0.9459357277882797,0.8483018867924528,0.9552218390804599,8e-05
5,0.12804992316125247,0.6607225321598773,0.9561436672967863,0.8633962264150944,0.9529252873563219,0.0001
6,0.10435382623528262,0.770715833969836,0.9669187145557656,0.8415094339622642,0.9372873563218391,9.972609476841367e-05
7,0.07546142389318274,0.7820121382317453,0.9750472589792061,0.8467924528301887,0.9538126436781608,9.890738003669029e-05
8,0.07636787467768208,0.5329601695290151,0.9741020793950851,0.8739622641509434,0.9612712643678161,9.755282581475769e-05
9,0.06848900705744955,0.742117001627976,0.9786389413988658,0.8384905660377359,0.9537988505747126,9.567727288213003e-05
10,0.05733544625947516,0.514103920785886,0.9814744801512287,0.900377358490566,0.9714298850574711,9.330127018922194e-05
11,0.03916360766878651,0.6955218680174846,0.987523629489603,0.8867924528301887,0.9657471264367816,9.045084971874738e-05
12,0.04708865157597908,0.4193669959902763,0.985633270321361,0.9071698113207547,0.9758494252873563,8.715724127386972e-05
13,0.03925987624322084,0.38844557717020783,0.9890359168241966,0.9049056603773585,0.98073908045977,8.345653031794292e-05
14,0.03160648740302518,0.5974252429970031,0.9914933837429112,0.8845283018867924,0.9642942528735632,7.938926261462366e-05
15,0.033127127093437264,0.5548720253638502,0.9907372400756144,0.8973584905660378,0.9668988505747127,7.500000000000001e-05
16,0.029219530210108452,0.5303629996416703,0.9920604914933837,0.8996226415094339,0.98056091954023,7.033683215379003e-05
17,0.021518800682291415,0.5560176232513392,0.9933837429111532,0.9011320754716982,0.981112643678161,6.545084971874738e-05
18,0.02557911863568149,0.7151218534753008,0.9933837429111532,0.8679245283018868,0.9717471264367815,6.039558454088797e-05
19,0.023265058083885785,0.6683972608818198,0.994328922495274,0.8875471698113208,0.9750873563218391,5.522642316338269e-05
20,0.019733961430749732,0.6725081814291343,0.9947069943289225,0.8852830188679245,0.9730643678160921,5.000000000000002e-05
21,0.019309389613575825,0.6445359973637563,0.9937618147448015,0.8966037735849056,0.9732310344827586,4.4773576836617344e-05
22,0.01599029084006923,0.8508397145091363,0.9956521739130435,0.8679245283018868,0.9575827586206895,3.9604415459112035e-05
23,0.011888899379517683,0.8657597564751247,0.9965973534971645,0.8686792452830189,0.9637011494252873,3.4549150281252636e-05
24,0.014044575542515226,0.6532453216717772,0.996219281663516,0.8920754716981132,0.9711114942528736,2.966316784621e-05
