Model,Paradigm,Fold,Best_Epoch,Convergence_Ep,Val_AUC,Val_Best_Acc,Test_Acc,Test_BalAcc,Test_Sensitivity,Test_Specificity,Test_F1,Test_AUC,Test_MCC,Test_FNR,Test_PPV,Test_NPV,Inference_ms,GPU_Mem_GB,Fold_Time_s
TBCA-CNN-FeatureMap-Quantum,fusion_quantum,1,1,1,0.8767,0.8771,0.846,0.8309,0.9205,0.7413,0.8374,0.9093,0.6818,0.0795,0.8335,0.8335,44.75,5.77,2770.9
TBCA-CNN-FeatureMap-Quantum,fusion_quantum,2,9,9,0.9984,0.9871,0.8736,0.8618,0.9317,0.792,0.8675,0.9283,0.739,0.0683,0.8631,0.8631,44.38,5.78,4002.0
TBCA-CNN-FeatureMap-Quantum,fusion_quantum,3,13,13,0.8952,0.8454,0.9041,0.8988,0.9304,0.8671,0.9008,0.9555,0.802,0.0696,0.9079,0.9079,41.84,5.78,6310.6
TBCA-CNN-FeatureMap-Quantum,fusion_quantum,4,6,6,0.9848,0.9452,0.8715,0.8605,0.9255,0.7955,0.8655,0.9347,0.7342,0.0745,0.8643,0.8643,46.13,5.78,3413.0
TBCA-CNN-FeatureMap-Quantum,fusion_quantum,5,23,23,0.9288,0.9125,0.8686,0.8549,0.9354,0.7745,0.8615,0.9282,0.729,0.0646,0.8537,0.8537,42.22,5.78,6226.3
