epoch,train_loss,val_loss,train_acc,val_acc,val_auc,lr
1,0.5020165378446384,0.25116429372972604,0.7770628311884936,0.9188580015026296,0.9926976732812481,2e-05
2,0.47804022882130903,0.23828254543821406,0.7990158970476912,0.9293764087152517,0.9933548521194782,4e-05
3,0.4658936934431424,0.14860367301395297,0.8033686601059803,0.9564237415477085,0.9954119747154262,6e-05
4,0.4401265706734437,0.21106288347541613,0.8236184708554126,0.9353869271224643,0.9953722383205565,8e-05
5,0.41225818212423965,0.5442757323205157,0.8364875094625284,0.7445529676934636,0.9883174999083006,0.0001
6,0.35785200955017693,0.6380734174861485,0.8622255866767601,0.786626596543952,0.9501185978554574,9.972609476841367e-05
7,0.38153638941694806,0.3677619343510165,0.8491672975018925,0.8775356874530428,0.9888829793737545,9.890738003669029e-05
8,0.34519982157468254,0.8605766267698345,0.865442846328539,0.5867768595041323,0.9383382850994633,9.755282581475769e-05
9,0.3260728946515415,0.15274572907579653,0.8758516275548827,0.9571750563486101,0.9688772328797272,9.567727288213003e-05
10,0.3007703414024682,0.32314505174218666,0.8830431491294474,0.8692712246431255,0.9799728569856581,9.330127018922194e-05
