epoch,train_loss,val_loss,train_acc,val_acc,val_auc,lr
1,0.440760083178266,0.47519808791718393,0.8234404536862003,0.8181132075471698,0.7950840761804703,2e-05
2,0.4331201549513804,0.4999629068149711,0.8313799621928166,0.8083018867924529,0.7906926569359499,4e-05
3,0.42660257324491874,0.5381068966298733,0.8304347826086956,0.7826415094339623,0.7859407580524987,6e-05
4,0.38725341947745734,0.5143448970227872,0.8432892249527411,0.7969811320754717,0.8351174171968889,8e-05
5,0.330783505689895,0.6755696506545229,0.8686200378071833,0.8143396226415094,0.7498606324072534,0.0001
6,0.3225651319851722,0.5712965395315638,0.8795841209829868,0.7992452830188679,0.8087300396125581,9.972609476841367e-05
7,0.3040391480990304,0.6328140711784362,0.8801512287334594,0.8483018867924528,0.7678671934046968,9.890738003669029e-05
8,0.2807021383062315,0.6432298940813767,0.8886578449905482,0.8467924528301887,0.7909445906612993,9.755282581475769e-05
9,0.2719241247848662,0.5848209049679198,0.8952741020793951,0.8460377358490566,0.7931034482758621,9.567727288213003e-05
10,0.25365777934544026,0.7688925568562633,0.899054820415879,0.8535849056603774,0.7988885434478471,9.330127018922194e-05
11,0.24094687639427545,0.7570171056828409,0.9049149338374292,0.8347169811320755,0.841560488215398,9.045084971874738e-05
12,0.23932131114213362,0.5287032346343095,0.901890359168242,0.8316981132075472,0.8350477334005156,8.715724127386972e-05
13,0.22618303537678627,0.6702850219354315,0.9109640831758034,0.8354716981132075,0.7706853669387908,8.345653031794292e-05
14,0.21490536543957903,0.6401748036326103,0.9145557655954631,0.8369811320754716,0.84141710040363,7.938926261462366e-05
15,0.20632875008483917,0.5979953953455079,0.9183364839319471,0.819622641509434,0.8203565130228294,7.500000000000001e-05
16,0.20336794537652306,0.6433364431363232,0.9215500945179584,0.8249056603773585,0.8367817878718032,7.033683215379003e-05
17,0.20129420948839818,0.6229039167345695,0.9173913043478261,0.8271698113207547,0.8524311604496214,6.545084971874738e-05
18,0.1920115584067451,0.7540336685023218,0.9241965973534971,0.8241509433962264,0.8312566668632109,6.039558454088797e-05
19,0.19001559350421277,0.8167935554261477,0.9289224952741021,0.780377358490566,0.7972992168613346,5.522642316338269e-05
20,0.1798080074201234,0.5501660622740692,0.9257088846880908,0.8415094339622642,0.8669361106793099,5.000000000000002e-05
21,0.1719360247423383,0.6065419204055138,0.9317580340264651,0.8233962264150944,0.8547870087962393,4.4773576836617344e-05
22,0.1642108805576209,0.7710990774856423,0.9364839319470699,0.8030188679245283,0.8365794368477195,3.9604415459112035e-05
23,0.15367243835853944,0.8394776527696061,0.9391304347826087,0.8309433962264151,0.8267312403179724,3.4549150281252636e-05
24,0.14498752589902658,0.9341048395858621,0.9398865784499055,0.8120754716981132,0.8346805533965489,2.966316784621e-05
25,0.14437544601626118,0.8570101659983959,0.9400756143667297,0.8377358490566038,0.8469864438214594,2.5000000000000015e-05
26,0.13844910652776352,0.7970626163932513,0.9457466918714555,0.8279245283018868,0.8332573958629267,2.0610737385376352e-05
27,0.13175063324715441,0.8132872853189145,0.9497164461247637,0.8218867924528301,0.8451746651157556,1.654346968205711e-05
