"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","convnext_variant","dataset","entanglement","entropy_weight","epochs","grad_clip","lr","model_key","model_name","n_folds","n_layers","n_qubits","num_heads","paradigm","patience","rotation_config","swin_variant","task","use_amp","weight_decay","backbone","quantum_backbone","specificity_weight","efficientnet_variant","fusion_dim","quantum_entanglement","quantum_feature_map_mode","quantum_n_layers","quantum_n_qubits","quantum_rotation_config","accuracy","accuracy_std","auc_roc","auc_std","epoch","f1_score","f1_std","fnr","fold","folds_completed","inference_ms","mcc","optimizer/lr","sensitivity","specificity","total_params","train/accuracy","train/loss","training_time_s","val/accuracy","val/auc","val/balanced_accuracy","val/f1","val/fnr","val/loss","val/mcc","val/npv","val/ppv","val/sensitivity","val/specificity","val_accuracy","val_accuracy_std"
"breakhis-QENN-RY_RZ","finished","-","","breakhis, qenn_ry_rz, quantum","2026-04-01T06:31:47.000Z","12205","","16","","breakhis","cyclic","","50","1","0.00002","qenn_ry_rz","QENN-RY_RZ","5","2","8","","quantum","15","ry_rz","","binary","false","0.0001","","","","","","","","","","","0.8641","0.0426","0.9248","0.0375","237","0.8554","0.0493","0.0683","5","5","34.72","0.7214","0.0000031545289407131136","0.9317","0.7688","11522770","0.9828614008941878","0.23255886141926985","12201.3","0.8505154639175257","0.9031799883980522","0.8187072617645508","0.8207994903647078","0.101840490797546","0.493923847208318","0.6417063921910996","0.8894289185905225","0.8894289185905225","0.898159509202454","0.7392550143266475","0.8873","0.0284"
"breakhis-QENN-RY_ONLY","finished","-","","breakhis, qenn_ry, quantum","2026-04-01T02:59:50.000Z","12715","","16","","breakhis","cyclic","","50","1","0.00002","qenn_ry","QENN-RY_ONLY","5","2","8","","quantum","15","ry_only","","binary","false","0.0001","","","","","","","","","","","0.8693","0.0356","0.932","0.0218","228","0.8619","0.0405","0.072","5","5","29.93","0.7329","0.000008126186854142756","0.928","0.7867","11522754","0.9780178837555886","0.2420870504507187","12713.1","0.8513745704467354","0.8917573435055461","0.8234165978167244","0.8231517268816015","0.1067484662576687","0.5019306850802038","0.6463051151406032","0.8943488943488943","0.8943488943488943","0.8932515337423312","0.7535816618911175","0.8887","0.0256"
"breakhis-DualBranch-Fusion","finished","-","","breakhis, dual_branch_fusion, fusion","2026-03-31T23:25:44.000Z","12843","","16","tiny","breakhis","","0.01","50","1","0.00002","dual_branch_fusion","DualBranch-Fusion","5","","","","fusion","15","","tiny","binary","true","0.0001","","","","","","","","","","","0.8665","0.0337","0.9178","0.029","250","0.8595","0.0364","0.0708","5","5","26.29","0.7244","0","0.9292","0.7783","57643233","0.9996274217585692","0.20028712650436223","12840","0.8393470790378007","0.9215180972805735","0.7984442842828766","0.8045743682748032","0.09938650306748466","0.6157007282951853","0.610200601215986","0.8738095238095238","0.8738095238095238","0.9006134969325154","0.6962750716332379","0.9119","0.0209"
"breakhis-ConvNeXt-Small","finished","-","","breakhis, convnext_small, transformer","2026-03-31T22:00:04.000Z","5133","","32","","breakhis","","","50","1","0.00002","convnext_small","ConvNeXt-Small","5","","","","transformer","15","","","binary","true","0.0001","","","","","","","","","","","0.8456","0.0627","0.9048","0.0399","227","0.8343","0.0746","0.0788","5","5","17.86","0.6813","0.00000874666766435696","0.9212","0.7392","49981794","0.9973919523099852","0.20511306797871823","5126.5","0.8530927835051546","0.92550494840649","0.8311969342732083","0.8271429750020626","0.11411042944785275","0.5605783182935616","0.654654468002993","0.9025","0.9025","0.8858895705521472","0.7765042979942693","0.9091","0.0207"
"breakhis-ConvNeXt-Tiny","finished","-","","breakhis, convnext_tiny, transformer","2026-03-31T20:26:38.000Z","5597","","32","","breakhis","","","50","1","0.00002","convnext_tiny","ConvNeXt-Tiny","5","","","","transformer","15","","","binary","true","0.0001","","","","","","","","","","","0.8522","0.0475","0.9006","0.0544","229","0.8422","0.0538","0.0676","5","5","11.07","0.6958","0.000007513101128351453","0.9324","0.7391","28347234","0.9970193740685545","0.20538408665649935","5593.8","0.8719931271477663","0.934009527660098","0.8594388876193155","0.8509906549122067","0.10920245398773006","0.5111804682364578","0.703379006787415","0.9236641221374046","0.9236641221374046","0.8907975460122699","0.828080229226361","0.9135","0.0183"
"breakhis-Swin-V2-Small","finished","-","","breakhis, swin_v2_small, transformer","2026-03-31T20:26:19.000Z","18","","16","","breakhis","","","50","1","0.00002","swin_v2_small","Swin-V2-Small","5","","","","transformer","15","","","binary","true","0.0001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"breakhis-Swin-Small","finished","-","","breakhis, swin_small, transformer","2026-03-31T18:10:50.000Z","8118","","32","","breakhis","","","50","1","0.00002","swin_small","Swin-Small","5","","","","transformer","15","","","binary","true","0.0001","","","","","","","","","","","0.8661","0.0324","0.9184","0.0299","222","0.8584","0.037","0.0696","5","5","32.03","0.7245","0.00001187381314585725","0.9304","0.7755","49036172","0.9973919523099852","0.20461708846905904","8108.6","0.8419243986254296","0.87109357146624","0.8019231107282859","0.8078787509104806","0.098159509202454","0.5586096374029966","0.6167301922785461","0.8760429082240763","0.8760429082240763","0.901840490797546","0.7020057306590258","0.9053","0.027"
"breakhis-Swin-Tiny","finished","-","","breakhis, swin_tiny, transformer","2026-03-31T16:43:49.000Z","5211","","32","","breakhis","","","50","1","0.00002","swin_tiny","Swin-Tiny","5","","","","transformer","15","","","binary","true","0.0001","","","","","","","","","","","0.8556","0.0543","0.8979","0.0297","232","0.8459","0.0633","0.0718","5","5","19.46","0.7022","0.0000057422070843492754","0.9282","0.7535","27718268","0.9986959761549924","0.20163676986573528","5199.6","0.8247422680412371","0.8775713256104206","0.7691739764796878","0.7810448355733908","0.0920245398773006","0.6164642154555959","0.5670661030183571","0.8515535097813579","0.8515535097813579","0.9079754601226994","0.6303724928366762","0.9065","0.0292"
"breakhis-ViT-Tiny","finished","-","","breakhis, transformer, vit_tiny","2026-03-31T15:45:01.000Z","3517","","32","","breakhis","","","50","1","0.0001","vit_tiny","ViT-Tiny","5","","","","transformer","15","","","binary","true","0.0001","","","","","","","","","","","0.8094","0.0157","0.8322","0.0369","223","0.7947","0.0198","0.081","5","5","7.57","0.6073","0.00007128896457825361","0.919","0.6552","11019650","0.9182190760059612","0.33841281756203506","3501.2","0.7233676975945017","0.7383532265719761","0.651727108126637","0.6570054321566101","0.16932515337423312","0.6354286484292283","0.316855904098803","0.7862950058072009","0.7862950058072009","0.8306748466257668","0.4727793696275072","0.8875","0.034"
"breakhis-CNN+ViT-Hybrid","finished","-","","breakhis, hybrid_vit, transformer","2026-03-31T13:26:36.000Z","8303","","32","","breakhis","","","50","1","0.0001","hybrid_vit","CNN+ViT-Hybrid","5","","","4","transformer","15","","","binary","true","0.0001","","","","","","","","","","","0.8803","0.0398","0.9346","0.0324","250","0.8741","0.0436","0.0639","5","5","24.5","0.7533","0.0000024471741852423216","0.9361","0.8018","12683306","0.9986959761549924","0.201043940025719","8278.9","0.8462199312714777","0.9045546434158948","0.8131822736301791","0.8154951291585456","0.10429447852760736","0.5626933284846368","0.6311253460161573","0.8859223300970874","0.8859223300970874","0.8957055214723927","0.7306590257879656","0.8981","0.0221"
"breakhis-EfficientNet-B3","finished","-","","breakhis, cnn, efficientnet","2026-03-31T11:18:01.000Z","7703","","32","","breakhis","","","50","1","0.0001","efficientnet","EfficientNet-B3","5","","","","cnn","15","","","binary","true","0.0001","","","","","","","","","","","0.8819","0.0414","0.9387","0.0277","250","0.8752","0.0475","0.0629","5","5","21.63","0.7574","0","0.9371","0.8042","10699306","0.9996274217585692","0.20034795475432485","7697.3","0.8780068728522337","0.9326208096753212","0.8596375270272646","0.8561186650185415","0.09447852760736196","0.4370568205196014","0.7124840436321177","0.9190535491905356","0.9190535491905356","0.905521472392638","0.8137535816618912","0.9009","0.0193"
