Model,Paradigm,Fold,Best_Epoch,Convergence_Ep,Val_AUC,Val_Best_Acc,Test_Acc,Test_BalAcc,Test_Sensitivity,Test_Specificity,Test_F1,Test_AUC,Test_MCC,Test_FNR,Test_PPV,Test_NPV,Inference_ms,GPU_Mem_GB,Fold_Time_s
EfficientNet-B5,cnn,1,4,4,0.9106,0.8567,0.8431,0.8251,0.9317,0.7185,0.833,0.9399,0.6772,0.0683,0.8233,0.8233,12.72,5.43,761.4
EfficientNet-B5,cnn,2,11,11,0.9967,0.9749,0.9092,0.9054,0.928,0.8829,0.9063,0.9494,0.8127,0.072,0.9177,0.9177,13.4,5.43,1008.8
EfficientNet-B5,cnn,3,8,8,0.8848,0.8469,0.9056,0.8998,0.9342,0.8654,0.9022,0.9555,0.805,0.0658,0.9071,0.9071,13.43,5.43,890.7
EfficientNet-B5,cnn,4,29,29,0.9761,0.9452,0.8642,0.8492,0.9379,0.7605,0.8564,0.9357,0.7205,0.0621,0.8464,0.8464,13.29,5.43,1697.6
EfficientNet-B5,cnn,5,25,25,0.882,0.898,0.8903,0.8766,0.9578,0.7955,0.8842,0.9604,0.7756,0.0422,0.8682,0.8682,13.14,5.43,1545.0
